Italian;Italiano
English;Inglese

### HOMEPAGE
Index;Homepage
Homepage;Homepage
Looking for a domain name?;Desideri un dominio?
Dashboard;Pannello di Controllo
%s° quarter of %s;%s° trimestre del %s
%s° quarter %s: %s %s;%s° trimestre del %s: %s %s
ShineIsp version %s;ShineISP versione %s
Sign in;Area Clienti
Welcome %s;Benvenuto/a %s
Welcome Mr. %s;Benvenuto Sig. %s
Welcome Mrs. %s;Benvenuta Sig.ra %s
Configuration;Configurazione
Support;Supporto
Sales;Vendite
Attributes;Attributi
Attributes Groups;Gruppi Attributi
Taxes;Tasse
Invoices;Fatture Emesse
Purchase Invoices;Fatture Ricevute
Welcome to the administration of your own services and domain panel.;Benvenuto nel pannello amministrativo per gestire i tuoi domini ed i tuoi servizi.
Expiring Domains;Scadenza Domini
Tickets System;Segnalazioni
Generic Issue;Problema Generico
expiration_date;Data di Scadenza
Days;Giorni
Tasks;Operazioni Pianificate
List of all the tasks executed.;Lista di tutte le operazioni eseguite.
Back to home;Torna alla Homepage
Type here the domain name;Inserisci qui il nome del dominio
Commands;Azioni
Expiring Services;Servizi in Scadenza
Here you can see all the options available.;Qui puoi visualizzare tutte le opzioni disponibili. 
Here you can manage your own domains.;Qui potrai gestire i tuoi domini.
Here you can manage your own services.;Qui potrai gestire i tuoi servizi.
Here you can manage your own orders.;Qui potrai gestire i tuoi ordini.
Here you can add and reply your help requests.;Qui potrai aggiungere e rispondere alle tue richieste d'aiuto.
Here below you can see all the domains near at the expiring date.;Qui puoi visualizzare tutti i domini la cui data è prossima alla scadenza.
Here below you can see all the services near at the expiring date.;Qui puoi visualizzare tutti i servizi la cui data è prossima alla scadenza.
Fullname;Nome Completo
Sign Up;Registrati
Buy Now;Acquista Ora
Product;Prodotto
TLD Summary by Owner;Sommario TLD per cliente
desc_owner_tld_summary;In this list you can see the summary of the TLD groups by owner.
Last Tickets;Ultime Segnalazioni
In this section you can see all the requested support issues.;In questa sezione puoi visualizzare tutte le richieste di supporto.
subject;Topic
services_stats;Services Stats
desc_services_stats;Within this list you can see the services subscribed by the customers.
Solditems;Numero Vendite
domains_stats;Domains Stats
desc_domains_stats;This list shows all the costs and earnings of the domains sold grouped by tld.
tld;TLD
costs;Costi
Costs;Costi
Write here the domain name or a simple description of the problem.;Scrivi il nome dominio o descrivi con una frase il problema.
Net Revenues (Taxable incomes - Costs);Entrate Nette (Imponibile - Costi)
Revenues (Taxable incomes);Entrate (Imponibile)
Body Message;Corpo del messaggio
Administration;Amministrazione
There was a problem during the login. Your profile is suspended or your credentials are wrong.;Si è verificato un problema durante la fase di accesso. Il profilo è sospeso o le credenziali sono errate.
Here you can see all information about the customers, orders, domains, and services.;In questa sezione è possibile gestire i clienti, gli ordini, i domini, i servizi, e le segnalazioni.
earnings;Earnings
costearns_summary;Domains Sold
Show All;Mostra tutto
Select ...;Seleziona ...
Here you can filter the result by the statuses;Qui puoi selezionare un filtro status.
Records;Records
Save;Salva
Pay Now;Paga Adesso
Services Stats;Statistiche Servizi
Estimated revenue through %s %s %s;Entrate stimate del %s %s %s
Estimate revenues for %s;Entrate stimate fino al %s
Here below the economic summary of the %s.;Qui in basso il rapporto economico del %s.
Click one of these links to show the economic reports;Fare click su uno dei seguenti link per visualizzare il rapporto economico
Within this list you can see the services subscribed by the customers.;Nella seguente lista è possibile visualizzare i servizi sottoscritti attivi da parte dei clienti.
You will earn about;Guadagnerai circa
Add a new product;Aggiungi Servizio
The field %s is a mandatory field;Il campo %s è un campo obbligatorio.
The order number %s that you have requested the %s with total %s euro has been not payed yet, click here to show more details.;L'ordine numero %s emesso il %s con l'importo di euro %s non è stato ancora saldato, click qui per visualizzare ulteriori dettagli.
The invoice number %s of %s (%s euro) has been not payed yet, click here to show more details.;La fattura numero %s del %s dell'importo di euro %s non è stata ancora saldata. Click qui per ulteriori dettagli.
Unable to process request at this time.;Impossibile elaborare la richiesta in questo momento.
Our apologies...;Ci scusiamo...
The page you requested cannot be displayed.;La pagina richiesta non può essere visualizzata.
Are you looking for one of these products?;Stai cercando uno dei seguenti prodotti?
Report this problem;Segnala questo problema
Tell us which is the broken link. You will not be contacted by us about this report.;Comunicaci qual'è il link non corretto. Non verrai disturbato a seguito della segnalazione.
stringLengthTooShort;il numero dei caratteri non è sufficiente.
items;Elementi
Customers Summary;Riepilogo Clienti
Tickets Summary;Sommario Segnalazioni
Product Reviews Summary;Sommario Recensioni
Thank you %s for supporting;Grazie %s per aver scelto i nostri servizi
Please write down a review regarding the subscribed service;Inserisci una recensione
Login here as customer;Accedi al tuo profilo
Services Subscribed;Servizi sottoscritti
New Message;Nuovo Messaggio
View all available plans now;Visualizza tutti i piani ora

### BULK DOMAINS
Domains Bulk Registration;Registrazione Multipla Domini
It's easy to register your new domain names in bulk.;Registrare i domini in una sola operazione è semplicissimo.
Just enter your names in the field below. One domain name for each row.;Inserisci qui in basso la lista dei tuoi domini uno per riga.
Registering more than one domain name? Click here!;Devi registrare più di un dominio? Clicca Qui!
When the 'Search' button is clicked, please be patient while we check domain availability.;Dopo aver premuto il bottone 'Ricerca', gentilmente attendi il termine del processo di controllo della disponibilità dei domini.
Check Now;Controlla Adesso
Domain Bulk Registration Order;Ordine Multiplo Domini
Create your new order with the following domains.;Crea il tuo nuovo ordine con i seguenti domini.
Domain Transfer;Trasferimento Dominio
Domain Registration;Registrazione Dominio
Domain Registration Order;Ordine Registrazione Dominio
Please write here your AuthCode in order to transfer the domain;Inserite il codice AuthCode per trasferire il dominio
Domain Available;Dominio Disponibile
Create the Order;Crea l'Ordine
The request has been executed correctly.;La richiesta è stata effettuata correttamente.
years;anni
weeks;settimane
days;giorni
hours;ore
minutes;minuti
Stars;Stelle
%s stars for %s;%s stelle da %s
Review;Recensione
Write down your review with details and you will earn points and discounts;Scrivi la tua recensione con più dettagli possibili come il nome della tua azienda, il tuo dominio e guadagnerai punti e sconti oltre ad essere promosso nel nostro sito.
Which is your own city? If added we will promote your review in our website using Google Maps;In quale città lavori? Se inserisci il nome della città promuoveremo il tuo nome usando Google Maps presente nel nostro sito. 
Who is Talking About Us?;Chi ti ha parlato di noi?
Where did you find us?;Dove ci hai conosciuti?
Add your own nickname;Aggiungi il tuo soprannome
Nick;Soprannome
Write down a subject of the review;Scrivi il soggetto della recensione
Add your review for;Scrivi la tua recensione per
Your email will be not published;La tua email non verrà pubblicata
Publish your Review;Pubblica la tua recensione
No Reviews yet;Nessuna Recensione trovata
Get more information;Ulteriori informazioni
Call me back service;Servizio Richiamami
Call me back service helps you to get the first contact with our company.;Il servizio di richiamata permette di essere contattati solamente ad un numero fisso.
Call me;Prenota Richiamata
What time?;Quando?
Required;Richiesto
Thanks for your interest in our services. Our staff will contact you shortly.;Grazie per il tuo interessamento ai nostri servizi e prodotti. Il nostro staff la contatterà a breve.
Landline phone;Telefono fisso

### LOGIN
adminlogin;Accesso Amministrativo
Email;Email
Write your own email;Inserisci la tua email
Password;Password
Write your own password;Inserisci la tua password
Sign in to get subscribed services.;Accedi per conoscere i servizi sottoscritti.
User not found. Check your credentials.;Si è verificato un problema durante la fase di accesso. Possibili cause sono: il tuo profilo è sospeso oppure l'email o la password sono errate.
Forgot your password?;Password Dimenticata?
This field;Il campo
is empty. This field is mandatory.;è vuoto. Questo campo è obbligatorio.
Main;Principale
New password;Nuova Password
Password sent to your email box. You have to click in the link written in the email.;Password inviata nella tua casella di posta. Fare clic nel link incluso.
Email sent;Email inviata.
Error occurred during setting of the password.;Si è verificato un errore durante l'impostazione della password.

### WIKI
Table of Contents;Sommario
Wiki Help Guide;Guida Wiki/F.A.Q.
Write here what you looking for.;Scrivi qui ciò che cerchi.
Here you can see the wiki guides list.;Qui puoi vedere la lista delle guide.
Posted;Inserito
Help;Aiuto
Products Reference;Prodotti Collegati
Do you need help?;Hai bisogno di aiuto?
Have you found what you need? If not write a question here.;Hai trovato ciò che cercavi? Se non hai trovato una risposta, scrivi la tua domanda qui.
back to the list;ritorna all'indice
